tokenAddress,tokenName,tokenSymbol,caller,alertTime,alertDateTime,entryTime,exitTime,pnl,pnlPercent,holdDuration,entryPrice,exitPrice,athSinceCall,athSinceCallPercent,maxDrawdownFromEntry,maxDrawdownFromEntryPercent,timeToATH,hasOHLCV,strategy
CnqAQXJB7vSiwdNvgSf22JSPPa53orxSfXn6L2D6pump,Token CnqAQXJB,PLAIPIN,Brook Giga I verify @BrookCalls,2025-11-03T22:12:21.000+11:00,2025-11-03T22:12:21.000+11:00,2025-11-03T23:40:00.000+11:00,2025-11-03T23:40:00.000+11:00,0.9046877227220955,-9.531227727790448,0,0.0007827326047417339,0.0007081285776841333,0.0011550842746016212,60.602371964871395,0.0004783960147334122,61.11870284121627,2,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,Token FeR8VBqN,JELLYJELLY,Brook Giga I verify @BrookCalls,2025-11-05T08:04:31.000+11:00,2025-11-05T08:04:31.000+11:00,2025-11-05T10:00:00.000+11:00,2025-11-05T10:05:00.000+11:00,0.9098765244269283,-9.012347557307166,5,0.3002691054928279,0.27320781009859696,0.5005662036224084,22.358533027843674,0.10006857932720006,33.326298808849735,0,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
5aW63GU53U9iQR5KgyFQq1bK2FymQhwB2qxWdWGepump,,,Brook Giga I verify @BrookCalls,2025-11-05T23:54:25.000+11:00,2025-11-05T23:54:25.000+11:00,2025-11-06T01:40:00.000+11:00,2025-11-06T01:40:00.000+11:00,0.891016875,-10.898312499999996,0,0.00036596756823353073,0.00032608327899878985,0.0004521535728219172,25.97930749982953,0.00015018563004203162,41.03796157865972,0,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
oreoU2P8bN6jkk3jbaiVxYnG1dCXcYxwhwyK9jSybcp,,,Brook Giga I verify @BrookCalls,2025-11-08T03:46:02.000+11:00,2025-11-08T03:46:02.000+11:00,2025-11-08T05:10:00.000+11:00,2025-11-08T08:05:00.000+11:00,1.0314326094570652,3.1432609457065164,175,387.95916484712325,400.153733761052,582.3467215325591,53.36719503522216,33.96736976562812,8.755398207698764,3,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
3F9P94NfjB7rTxoyQ7JxLHuCgbENqk71Tjx78fGB3kPb,,,Brook Giga I verify @BrookCalls,2025-11-09T23:10:53.000+11:00,2025-11-09T23:10:53.000+11:00,2025-11-10T01:40:00.000+11:00,2025-11-10T02:40:00.000+11:00,0.8910168750000003,-10.898312499999975,60,0.000339797538963943,0.0003027653413003433,0.0005830141740747744,72.27532798952372,0.00004380547276592044,12.891639209479022,49,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
FRVCEaJuS8cuBTWR1JwVu35pBsKmHmt9n4LjSiF4pump,,,Brook Giga I verify @BrookCalls,2025-11-12T09:54:48.000+11:00,2025-11-12T09:54:48.000+11:00,2025-11-12T11:25:00.000+11:00,2025-11-12T11:25:00.000+11:00,0.9534880248342916,-4.6511975165708375,0,0.00039383246027784784,0.00037551453466595476,0.0014944327483408218,291.07106301719955,0.00016090587366452013,40.85642751514221,0,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
oobQ3oX6ubRYMNMahG7VSCe8Z73uaQbAWFn6f22XTgo,,,Brook Giga I verify @BrookCalls,2025-11-13T02:16:00.000+11:00,2025-11-13T02:16:00.000+11:00,2025-11-13T03:35:00.000+11:00,2025-11-13T03:45:00.000+11:00,0.9281155722862721,-7.188442771372793,10,0.3955923467421006,0.36715541728861406,0.7325314602142722,69.74518952353064,0.09425532147147064,23.826376381573105,4,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
CxiR3c9AGqMtE7bg82sLnzpLinXN3kXfcoYeYtGApFoG,,,Brook Giga I verify @BrookCalls,2025-11-13T20:44:24.000+11:00,2025-11-13T20:44:24.000+11:00,2025-11-13T22:30:00.000+11:00,2025-11-13T23:20:00.000+11:00,0.9216369010033721,-7.836309899662785,50,0.006749939847503226,0.006220993643012048,0.008584820420819756,26.30824136954457,0.0008285196069325778,12.274473930890563,0,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
HZYPQvUMDxLGuJLoakYzc47rJsLJvD7wo6AhZVC8pump,,,Brook Giga I verify @BrookCalls,2025-11-15T00:36:28.000+11:00,2025-11-15T00:36:28.000+11:00,2025-11-15T02:10:00.000+11:00,2025-11-15T02:10:00.000+11:00,0.8910168750000002,-10.898312499999985,0,0.000018569963465910146,0.00001654615081625943,0.00005605730290196479,31.414421112506407,0.000013965668678662906,75.20568742259734,3,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
AkbvXVZPzrHSpcxNADQ7Uxk6nvjHtpHn4nqNQZY8TJBn,,,Brook Giga I verify @BrookCalls,2025-11-15T07:05:29.000+11:00,2025-11-15T07:05:29.000+11:00,2025-11-15T08:25:00.000+11:00,2025-11-15T09:05:00.000+11:00,1.0019069867134396,0.19069867134395846,40,0.10689884245023756,0.10710269712247224,0.13026288113786977,42.14510503265807,0.03099308425195775,28.9929091293812,4,1,Ichimoku_5m_TenkanKijun_10pctTrail_24h
